date,code,value
2020-03-27,CZ052,52
2020-03-27,CZ072,102
2020-03-27,CZ063,51
2020-03-27,CZ071,200
2020-03-27,CZ031,76
2020-03-27,CZ032,56
2020-03-27,CZ041,70
2020-03-27,CZ053,59
2020-03-27,CZ064,133
2020-03-27,CZ051,50
2020-03-27,CZ080,219
2020-03-28,CZ010,524
2020-03-28,CZ042,93
2020-03-28,CZ020,276
2020-03-28,CZ052,67
2020-03-28,CZ072,107
2020-03-28,CZ063,52
2020-03-28,CZ071,231
2020-03-28,CZ031,78
2020-03-28,CZ032,56
2020-03-28,CZ041,77
2020-03-28,CZ053,67
2020-03-28,CZ064,143
2020-03-28,CZ051,63
2020-03-28,CZ080,227
